nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,jenis_usaha
Diva,"Central Park Shop Units TL. 1, Jl. Letjen. S. ParmN",PT. Gita Makmur Lestari,Tjhin Dianawi,Jakarta Barat,Restoran
Domino's Pizza,Jl. Letjen. S.Parman Kav.28,PT. Dom Pizza Indonesia,Jusroni,Jakarta Barat,Restoran
Domino's Pizza,"Carrefour Puri Indah, Jl. Puri Agung Puri Indah",PT. Dom Pizza Indonesia,Ir. Jusroni,Jakarta Barat,Restoran
Domino's Pizza,"Central Park, Jl. Letjen.S.Parman Kav. 28",PT. Dom Pizza Indonesia,Jusroni,Jakarta Barat,Restoran
Domino's Pizza,"Mal Ciputra, Jl. Letjen.S.Parman Lt. LG Unit 01&05",PT. Dom Pizza Indonesia,Jusroni,Jakarta Barat,Restoran
Domino's Pizza,"Komp. Ruko Citra Niaga Blok B No. 6, Jl. Utan Jati, Pegadungan",PT. Dom Pizza Indonesia,Jusroni,Jakarta Barat,Restoran
Domino's Pizza,"Komp. DPR RI, Jl. Kemanggisan Raya Blok B-3 C",PT. Dom Pizza Indonesia,Jusroni,Jakarta Barat,Restoran
Domino's Pizza,"Hayam Wuruk Plaza, Jl. Hayam Wuruk No. 108",PT. Dom Pizza Indonesia,Jusroni,Jakarta Barat,Restoran
Domino's Pizza,Komp. Mutiara Taman Palem City View Blok A5,PT. Dom Pizza Indonesia,Ir. Jusroni,Jakarta Barat,Restoran
East West,Jl. Letjen. S.Parman Kav. 72,PT. Citi Champion,Yossita Kurniawan,Jakarta Barat,Restoran
Eaton,Jl. Raya Perjuangan Blok D-9,PT. Boga Indo Gemilang,Halim Susanto,Jakarta Barat,Restoran
Eaton Café,"Mal Taman Anggrek, Jl. Letjen S. Parman Kav. 2",PT. Boga Indo Gemilang,Hartanto Rusli,Jakarta Barat,Restoran
Eaton Café,"Komp. Prisma Kedoya Plaza Blok D No. 9, Jl. Raya Kebon Jeruk",PT. Boga Indo Gemilang,Hartanto Rusli,Jakarta Barat,Restoran
Excelso,"Mall St. Moritz, Jl. Komplek Perum Puri Indah",PT. Prima Rasa Sejahtera,Freddry Chandra Tjong,Jakarta Barat,Restoran
